"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 19","3,684.75","3,704.95","3,730.25","3,594.85","-","-0.51%"
"Nov 19","3,703.58","3,610.22","3,733.45","3,607.68","713.88M","2.75%"
"Oct 19","3,604.41","3,573.08","3,637.94","3,398.64","843.40M","0.98%"
"Sep 19","3,569.45","3,426.24","3,578.04","3,406.55","805.93M","4.16%"
"Aug 19","3,426.76","3,458.01","3,491.16","3,239.20","866.90M","-1.16%"
"Jul 19","3,466.85","3,476.08","3,573.57","3,455.13","764.61M","-0.20%"
"Jun 19","3,473.69","3,274.97","3,496.79","3,248.54","736.81M","5.89%"
"May 19","3,280.43","3,514.62","3,514.62","3,258.04","938.77M","-6.66%"
"Apr 19","3,514.62","3,353.67","3,515.15","3,353.67","722.53M","4.86%"
"Mar 19","3,351.71","3,306.59","3,422.34","3,273.68","858.04M","1.62%"
"Feb 19","3,298.26","3,162.46","3,301.02","3,124.62","780.27M","4.39%"
"Jan 19","3,159.43","2,982.80","3,177.10","2,936.76","809.81M","5.26%"
"Dec 18","3,001.42","3,187.33","3,244.98","2,908.70","862.92M","-5.41%"
"Nov 18","3,173.13","3,196.13","3,263.72","3,100.77","829.46M","-0.76%"
"Oct 18","3,197.51","3,399.96","3,425.45","3,090.85","1.06B","-5.93%"
"Sep 18","3,399.20","3,391.82","3,452.41","3,274.40","900.08M","0.19%"
"Aug 18","3,392.90","3,527.82","3,531.61","3,349.14","778.95M","-3.76%"
"Jul 18","3,525.49","3,375.56","3,536.87","3,345.09","744.51M","3.83%"
"Jun 18","3,395.60","3,420.84","3,540.64","3,340.85","963.09M","-0.32%"
"May 18","3,406.65","3,536.42","3,596.20","3,391.01","1.10B","-3.67%"
"Apr 18","3,536.52","3,349.02","3,538.17","3,300.50","700.23M","5.21%"
"Mar 18","3,361.50","3,429.96","3,448.63","3,261.86","911.40M","-2.25%"
"Feb 18","3,438.96","3,616.16","3,636.22","3,306.66","968.43M","-4.72%"
"Jan 18","3,609.29","3,506.50","3,687.22","3,469.23","830.64M","3.01%"
"Dec 17","3,503.96","3,571.63","3,613.57","3,503.20","677.17M","-1.85%"
"Nov 17","3,569.93","3,676.99","3,708.82","3,519.35","768.33M","-2.83%"
"Oct 17","3,673.95","3,590.71","3,677.66","3,580.21","772.18M","2.20%"
"Sep 17","3,594.85","3,425.84","3,594.85","3,396.69","737.41M","5.07%"
"Aug 17","3,421.47","3,457.97","3,524.94","3,363.68","712.68M","-0.81%"
"Jul 17","3,449.36","3,449.75","3,539.48","3,431.19","828.52M","0.22%"
"Jun 17","3,441.88","3,556.18","3,615.06","3,439.79","994.29M","-3.17%"
"May 17","3,554.59","3,559.59","3,666.80","3,529.35","973.13M","-0.14%"
"Apr 17","3,559.59","3,504.26","3,593.13","3,407.33","849.86M","1.68%"
"Mar 17","3,500.93","3,335.77","3,500.93","3,335.77","1.08B","5.46%"
"Feb 17","3,319.61","3,243.90","3,355.40","3,214.31","815.50M","2.75%"
"Jan 17","3,230.68","3,278.84","3,342.47","3,230.68","885.38M","-1.82%"
"Dec 16","3,290.52","3,044.57","3,290.52","2,984.48","1.01B","7.83%"
"Nov 16","3,051.61","3,063.20","3,105.16","2,937.98","1.08B","-0.12%"
"Oct 16","3,055.25","2,999.19","3,109.61","2,954.45","860.17M","1.77%"
"Sep 16","3,002.24","3,027.86","3,101.75","2,922.82","1.15B","-0.69%"
"Aug 16","3,023.13","3,001.36","3,063.40","2,892.52","1.08B","1.08%"
"Jul 16","2,990.76","2,874.15","3,016.82","2,742.66","1.37B","4.40%"
"Jun 16","2,864.74","3,061.44","3,064.06","2,678.27","1.76B","-6.49%"
"May 16","3,063.48","3,037.62","3,097.96","2,893.63","1.18B","1.16%"
"Apr 16","3,028.21","2,984.36","3,156.86","2,860.32","1.25B","0.77%"
"Mar 16","3,004.93","2,944.77","3,128.71","2,930.24","1.31B","2.01%"
"Feb 16","2,945.75","3,048.75","3,051.84","2,672.73","1.51B","-3.26%"
"Jan 16","3,045.09","3,266.01","3,266.01","2,855.44","1.35B","-6.81%"
"Dec 15","3,267.52","3,509.90","3,520.03","3,137.28","1.01B","-6.81%"
"Nov 15","3,506.45","3,404.38","3,524.04","3,326.20","922.70M","2.58%"
"Oct 15","3,418.23","3,113.01","3,450.61","3,036.17","1.05B","10.24%"
"Sep 15","3,100.67","3,238.95","3,326.86","2,987.47","1.27B","-5.17%"
"Aug 15","3,269.63","3,599.21","3,686.57","2,973.16","1.16B","-9.19%"
"Jul 15","3,600.69","3,444.20","3,714.26","3,291.39","1.23B","5.15%"
"Jun 15","3,424.30","3,582.08","3,651.31","3,374.18","1.37B","-4.10%"
"May 15","3,570.78","3,615.59","3,691.42","3,484.07","1.23B","-1.24%"
"Apr 15","3,615.59","3,688.18","3,836.28","3,577.69","1.18B","-2.21%"
"Mar 15","3,697.38","3,594.25","3,742.42","3,533.40","1.32B","2.73%"
"Feb 15","3,599.00","3,356.13","3,599.00","3,321.59","1.26B","7.39%"
"Jan 15","3,351.44","3,169.75","3,417.46","2,998.53","1.64B","6.52%"
"Dec 14","3,146.43","3,228.68","3,278.63","2,921.73","1.40B","-3.21%"
"Nov 14","3,250.93","3,107.80","3,250.93","3,026.41","1.30B","4.42%"
"Oct 14","3,113.32","3,217.81","3,236.58","2,789.63","1.75B","-3.49%"
"Sep 14","3,225.93","3,175.56","3,301.15","3,158.27","1.14B","1.68%"
"Aug 14","3,172.63","3,118.83","3,202.85","2,977.52","986.91M","1.83%"
"Jul 14","3,115.51","3,234.74","3,289.82","3,109.26","1.12B","-3.49%"
"Jun 14","3,228.24","3,247.54","3,325.50","3,211.50","1.16B","-0.50%"
"May 14","3,244.60","3,198.97","3,250.34","3,129.08","1.23B","1.44%"
"Apr 14","3,198.39","3,169.49","3,239.14","3,083.43","1.15B","1.16%"
"Mar 14","3,161.60","3,124.81","3,185.68","2,971.47","1.32B","0.39%"
"Feb 14","3,149.23","3,012.25","3,162.95","2,944.13","1.01B","4.49%"
"Jan 14","3,013.96","3,116.34","3,176.99","2,963.23","1.29B","-3.06%"
"Dec 13","3,109.00","3,089.39","3,116.23","2,916.70","897.23M","0.72%"
"Nov 13","3,086.64","3,068.73","3,106.64","2,999.25","996.36M","0.61%"
"Oct 13","3,067.95","2,893.66","3,073.88","2,891.39","1.37B","6.04%"
"Sep 13","2,893.15","2,741.08","2,955.47","2,725.56","1.24B","6.31%"
"Aug 13","2,721.37","2,774.12","2,855.89","2,720.57","1.10B","-1.69%"
"Jul 13","2,768.15","2,619.36","2,773.60","2,539.15","1.17B","6.36%"
"Jun 13","2,602.59","2,757.65","2,788.22","2,494.54","1.33B","-6.03%"
"May 13","2,769.64","2,712.01","2,851.48","2,688.59","1.43B","2.13%"
"Apr 13","2,712.00","2,622.24","2,735.53","2,542.10","1.43B","3.35%"
"Mar 13","2,624.02","2,627.93","2,746.02","2,589.84","1.44B","-0.36%"
"Feb 13","2,633.55","2,706.22","2,718.56","2,563.64","1.37B","-2.57%"
"Jan 13","2,702.98","2,659.79","2,754.80","2,659.79","1.46B","2.54%"
"Dec 12","2,635.93","2,580.90","2,668.23","2,567.15","1.15B","2.36%"
"Nov 12","2,575.25","2,500.31","2,592.43","2,427.32","1.14B","2.86%"
"Oct 12","2,503.64","2,451.29","2,579.81","2,440.58","1.40B","2.01%"
"Sep 12","2,454.26","2,435.35","2,604.77","2,420.46","1.47B","0.56%"
"Aug 12","2,440.71","2,326.34","2,494.06","2,261.77","1.36B","4.94%"
"Jul 12","2,325.72","2,266.41","2,354.75","2,142.46","1.71B","2.69%"
"Jun 12","2,264.72","2,120.90","2,264.72","2,050.16","2.11B","6.88%"
"May 12","2,118.94","2,306.48","2,344.95","2,097.76","1.99B","-8.13%"
"Apr 12","2,306.43","2,481.02","2,509.93","2,238.45","1.77B","-6.90%"
"Mar 12","2,477.28","2,509.15","2,611.42","2,437.60","1.69B","-1.39%"
"Feb 12","2,512.11","2,425.83","2,557.86","2,425.83","1.57B","3.95%"
"Jan 12","2,416.66","2,315.75","2,467.62","2,279.73","1.78B","4.32%"
"Dec 11","2,316.55","2,328.62","2,402.39","2,182.76","1.67B","-0.60%"
"Nov 11","2,330.43","2,352.76","2,373.00","2,065.75","2.35B","-2.30%"
"Oct 11","2,385.22","2,146.70","2,506.22","2,054.98","2.35B","9.43%"
"Sep 11","2,179.66","2,309.64","2,326.78","1,935.89","2.78B","-5.32%"
"Aug 11","2,302.08","2,691.93","2,709.04","2,077.06","3.24B","-13.79%"
"Jul 11","2,670.37","2,848.90","2,887.30","2,608.04","2.82B","-6.25%"
"Jun 11","2,848.53","2,868.54","2,871.69","2,692.95","2.37B","-0.47%"
"May 11","2,861.92","3,025.00","3,029.68","2,777.73","2.33B","-4.96%"
"Apr 11","3,011.25","2,923.02","3,012.76","2,833.07","2.00B","3.45%"
"Mar 11","2,910.91","3,021.45","3,041.39","2,717.74","2.79B","-3.39%"
"Feb 11","3,013.09","2,967.26","3,077.24","2,930.06","2.18B","2.01%"
"Jan 11","2,953.63","2,807.76","3,004.27","2,756.49","2.42B","5.76%"
"Dec 10","2,792.82","2,665.66","2,882.88","2,665.66","1.81B","5.35%"
"Nov 10","2,650.99","2,861.56","2,902.80","2,635.08","2.27B","-6.82%"
"Oct 10","2,844.99","2,747.93","2,891.52","2,690.88","1.62B","3.53%"
"Sep 10","2,747.90","2,629.51","2,827.44","2,610.46","1.97B","4.76%"
"Aug 10","2,622.95","2,756.00","2,849.45","2,560.00","1.75B","-4.35%"
"Jul 10","2,742.14","2,548.49","2,801.46","2,502.50","2.05B","6.56%"
"Jun 10","2,573.32","2,595.63","2,788.73","2,475.71","3.06B","-1.42%"
"May 10","2,610.26","2,806.71","2,828.79","2,448.10","4.01B","-7.33%"
"Apr 10","2,816.86","2,941.46","3,027.14","2,762.15","1.94B","-3.90%"
"Mar 10","2,931.16","2,743.17","2,969.20","2,737.07","1.71B","7.43%"
"Feb 10","2,728.47","2,763.88","2,842.61","2,617.77","2.04B","-1.74%"
"Jan 10","2,776.83","2,974.86","3,044.37","2,737.33","1.66B","-6.35%"
"Dec 09","2,964.96","2,817.16","3,001.56","2,802.39","1.19B","6.00%"
"Nov 09","2,797.25","2,738.26","2,933.96","2,693.80","1.61B","1.96%"
"Oct 09","2,743.50","2,874.78","2,962.06","2,737.24","1.84B","-4.50%"
"Sep 09","2,872.63","2,785.37","2,915.71","2,674.66","2.18B","3.51%"
"Aug 09","2,775.17","2,637.51","2,831.44","2,587.25","1.86B","5.19%"
"Jul 09","2,638.13","2,410.08","2,668.50","2,258.60","1.87B","9.84%"
"Jun 09","2,401.69","2,475.53","2,549.32","2,343.02","2.00B","-2.02%"
"May 09","2,451.24","2,376.04","2,499.64","2,318.26","1.87B","3.20%"
"Apr 09","2,375.34","2,065.49","2,400.69","2,021.53","2.23B","14.69%"
