This file was created using the 201909 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
199909   ,-0.33    ,2.12   ,-1.72    ,0.39
199910    ,1.74   ,-1.19   ,-3.80    ,0.39
199911    ,2.74    ,1.29   ,-9.34    ,0.36
199912    ,9.25   ,-4.99   ,-4.21    ,0.44
200001   ,-7.10    ,9.31   ,-6.16    ,0.41
200002    ,5.93    ,1.53   ,-9.54    ,0.43
200003    ,0.66   ,-5.23    ,3.38    ,0.47
200004   ,-5.58   ,-5.27    ,5.64    ,0.46
200005   ,-0.09   ,-0.22    ,6.30    ,0.50
200006    ,0.67    ,0.28    ,2.78    ,0.40
200007   ,-1.58   ,-1.02    ,3.25    ,0.48
200008   ,-1.61    ,0.95   ,-0.60    ,0.50
200009   ,-4.99    ,2.01    ,2.68    ,0.51
200010   ,-2.71   ,-6.93    ,7.64    ,0.56
200011   ,-4.55   ,-1.48   ,11.32    ,0.51
200012    ,5.69    ,0.41    ,3.30    ,0.50
200101    ,0.36    ,1.82    ,0.72    ,0.54
200102   ,-8.74    ,4.82    ,9.32    ,0.38
200103   ,-9.34   ,-1.07    ,5.88    ,0.42
200104    ,7.39   ,-3.74   ,-3.22    ,0.39
200105   ,-5.05    ,2.69    ,4.13    ,0.32
200106   ,-3.64   ,-0.99    ,6.37    ,0.28
200107   ,-0.67   ,-2.26    ,3.89    ,0.30
200108   ,-2.05    ,2.11    ,4.04    ,0.31
200109  ,-11.54   ,-5.27    ,2.35    ,0.28
200110    ,3.24    ,1.78   ,-3.23    ,0.22
200111    ,4.05    ,1.88   ,-1.18    ,0.17
200112    ,1.82   ,-1.83    ,1.40    ,0.15
200201   ,-4.74    ,3.04    ,1.69    ,0.14
200202    ,0.40   ,-0.30    ,1.57    ,0.13
200203    ,5.10   ,-0.46    ,0.82    ,0.13
200204   ,-0.30    ,2.89    ,4.84    ,0.15
200205    ,0.38    ,1.81    ,4.59    ,0.14
200206   ,-2.45    ,1.09    ,2.45    ,0.13
200207  ,-10.54    ,1.74    ,3.12    ,0.15
200208    ,0.13   ,-2.25    ,2.06    ,0.14
200209  ,-13.20    ,3.08   ,-1.93    ,0.14
200210    ,8.60   ,-6.82   ,-0.91    ,0.14
200211    ,4.87   ,-0.80    ,2.20    ,0.12
200212   ,-2.78    ,3.63    ,3.27    ,0.11
200301   ,-3.43    ,2.05    ,2.55    ,0.10
200302   ,-3.38    ,0.35    ,1.68    ,0.09
200303   ,-1.50    ,0.78   ,-0.50    ,0.10
200304   ,13.16   ,-2.17    ,0.21    ,0.10
200305    ,7.66    ,2.69    ,1.20    ,0.09
200306    ,1.18    ,2.01    ,0.37    ,0.10
200307    ,1.67    ,0.95    ,3.99    ,0.07
200308    ,0.17    ,3.08    ,0.05    ,0.07
200309    ,2.82    ,2.68    ,0.07    ,0.08
200310    ,6.17   ,-1.14    ,3.67    ,0.07
200311    ,4.49    ,0.00    ,0.46    ,0.07
200312    ,7.34   ,-2.01    ,0.58    ,0.08
200401    ,2.46    ,3.72    ,2.38    ,0.07
200402    ,3.07    ,1.09    ,0.40    ,0.06
200403   ,-3.32    ,0.90   ,-0.28    ,0.09
200404   ,-1.17   ,-1.03    ,0.85    ,0.08
200405    ,1.41   ,-0.99   ,-0.88    ,0.06
200406    ,2.00    ,1.11    ,1.00    ,0.08
200407   ,-3.14    ,0.12    ,0.41    ,0.10
200408    ,0.34   ,-0.43    ,1.31    ,0.11
200409    ,4.00    ,0.21    ,0.76    ,0.11
200410    ,4.11   ,-0.02    ,0.69    ,0.11
200411    ,6.85    ,2.08    ,1.75    ,0.15
200412    ,4.26    ,0.43    ,0.66    ,0.16
200501   ,-1.24    ,3.54    ,1.59    ,0.16
200502    ,4.58    ,0.76    ,1.07    ,0.16
200503   ,-2.57   ,-0.20    ,0.24    ,0.21
200504   ,-2.58    ,0.53   ,-0.10    ,0.21
200505   ,-0.06   ,-1.63    ,1.17    ,0.24
200506    ,1.54    ,0.89    ,1.74    ,0.23
200507    ,3.82    ,0.27    ,1.43    ,0.24
200508    ,2.03    ,2.28   ,-0.07    ,0.30
200509    ,1.48   ,-0.36    ,0.13    ,0.29
200510   ,-3.41   ,-1.19    ,0.34    ,0.27
200511    ,1.29   ,-0.36    ,0.49    ,0.31
200512    ,3.80    ,0.57    ,0.50    ,0.32
200601    ,6.39    ,2.32    ,1.72    ,0.35
200602    ,0.55    ,2.14    ,1.45    ,0.34
200603    ,3.99    ,0.80    ,1.43    ,0.37
200604    ,5.25    ,1.90   ,-0.29    ,0.36
200605   ,-3.65   ,-0.90   ,-0.65    ,0.43
200606   ,-0.21   ,-1.65   ,-0.53    ,0.40
200607    ,1.01   ,-1.86    ,1.54    ,0.40
200608    ,2.70   ,-0.29    ,0.38    ,0.42
200609    ,0.69    ,0.02    ,0.28    ,0.41
200610    ,3.82    ,0.13    ,1.45    ,0.41
200611    ,3.76    ,2.55    ,0.22    ,0.42
200612    ,3.32    ,0.92    ,0.40    ,0.40
200701    ,0.61    ,1.93    ,0.73    ,0.44
200702   ,-0.51    ,1.21    ,0.13    ,0.38
200703    ,3.71    ,0.65   ,-0.05    ,0.43
200704    ,5.54   ,-0.17    ,1.16    ,0.44
200705    ,1.56   ,-0.75    ,0.54    ,0.41
200706   ,-0.16   ,-0.71    ,0.53    ,0.40
200707   ,-2.23    ,1.86   ,-0.37    ,0.40
200708   ,-2.09   ,-3.15   ,-0.06    ,0.42
200709    ,4.82   ,-3.68   ,-0.71    ,0.32
200710    ,4.36    ,0.40   ,-0.95    ,0.32
200711   ,-4.03   ,-4.74   ,-1.75    ,0.34
200712   ,-2.11   ,-0.80    ,1.14    ,0.27
200801  ,-10.00    ,0.41   ,-0.01    ,0.21
200802    ,1.96    ,2.66   ,-0.48    ,0.13
200803    ,0.27   ,-0.59    ,2.21    ,0.17
200804    ,4.41   ,-2.49    ,0.09    ,0.18
200805    ,0.85    ,0.49   ,-1.07    ,0.18
200806   ,-8.69    ,1.81   ,-0.59    ,0.17
200807   ,-3.83   ,-2.14    ,0.68    ,0.15
200808   ,-4.57    ,0.16   ,-0.05    ,0.13
200809  ,-15.10   ,-3.20    ,0.41    ,0.15
200810  ,-22.06   ,-4.91   ,-3.27    ,0.08
200811   ,-7.20   ,-1.15   ,-3.17    ,0.03
200812    ,6.68   ,-1.38    ,1.17    ,0.00
200901  ,-10.98    ,4.86   ,-3.88    ,0.00
200902  ,-10.00    ,4.57   ,-4.11    ,0.01
200903    ,6.95   ,-2.41    ,1.37    ,0.02
200904   ,13.74    ,1.92    ,6.34    ,0.01
200905   ,12.88    ,1.27   ,-1.43    ,0.00
200906   ,-1.88    ,1.57   ,-1.26    ,0.01
200907   ,10.22   ,-3.89    ,3.61    ,0.01
200908    ,5.67    ,1.94    ,8.29    ,0.01
200909    ,5.45    ,1.68    ,1.27    ,0.01
200910   ,-1.86    ,1.60   ,-3.05    ,0.00
200911    ,3.00   ,-2.08   ,-1.21    ,0.00
200912    ,0.96   ,-1.87   ,-1.27    ,0.01
201001   ,-5.28    ,4.67   ,-1.72    ,0.00
201002   ,-2.10   ,-0.67   ,-1.82    ,0.00
201003    ,6.41   ,-1.20    ,4.16    ,0.01
201004   ,-1.67    ,3.17   ,-0.44    ,0.01
201005  ,-12.06   ,-0.19   ,-3.60    ,0.01
201006   ,-0.98    ,0.09   ,-2.26    ,0.01
201007   ,11.88   ,-1.96    ,4.72    ,0.01
201008   ,-4.26   ,-0.09   ,-2.64    ,0.01
201009   ,11.57    ,1.02   ,-0.17    ,0.01
201010    ,4.99    ,0.48    ,0.23    ,0.01
201011   ,-8.03    ,1.25   ,-3.14    ,0.01
201012    ,9.04    ,2.33    ,1.24    ,0.01
201101    ,3.68   ,-0.65    ,5.28    ,0.01
201102    ,3.06   ,-1.23    ,0.71    ,0.01
201103   ,-0.17    ,2.14   ,-1.75    ,0.01
201104    ,8.14   ,-1.15   ,-0.88    ,0.00
201105   ,-3.06    ,0.09   ,-2.19    ,0.00
201106   ,-2.05   ,-1.43    ,0.25    ,0.00
201107   ,-3.33    ,0.42   ,-4.00    ,0.00
201108  ,-10.11    ,0.65   ,-3.69    ,0.01
201109  ,-11.61   ,-1.04   ,-1.87    ,0.00
201110   ,10.97   ,-3.39   ,-1.33    ,0.00
201111   ,-4.85   ,-2.59   ,-3.38    ,0.00
201112   ,-2.20   ,-0.94   ,-0.97    ,0.00
201201    ,5.68    ,2.79    ,0.86    ,0.00
