"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"19/02/2014","1.788,74","1.787,56","1.790,46","1.775,41","-","0,12%"
"18/02/2014","1.786,53","1.782,92","1.787,91","1.770,94","-","0,38%"
"17/02/2014","1.779,79","1.775,97","1.782,66","1.775,97","-","0,48%"
"14/02/2014","1.771,23","1.762,59","1.773,59","1.762,22","-","0,68%"
"13/02/2014","1.759,22","1.756,15","1.760,00","1.745,79","-","0,43%"
"12/02/2014","1.751,65","1.745,54","1.758,26","1.744,58","-","0,07%"
"11/02/2014","1.750,38","1.725,14","1.750,38","1.725,14","-","1,53%"
"10/02/2014","1.724,00","1.720,83","1.726,57","1.718,48","-","0,28%"
"07/02/2014","1.719,21","1.703,79","1.719,21","1.699,37","-","0,86%"
"06/02/2014","1.704,53","1.671,32","1.707,67","1.671,32","-","1,96%"
"05/02/2014","1.671,71","1.667,29","1.675,39","1.662,93","-","0,30%"
"04/02/2014","1.666,68","1.670,31","1.672,45","1.655,71","-","-0,29%"
"03/02/2014","1.671,48","1.688,20","1.698,68","1.669,76","-","-1,10%"
"31/01/2014","1.690,13","1.702,18","1.703,54","1.670,41","-","-0,83%"
"30/01/2014","1.704,36","1.705,16","1.711,01","1.692,77","-","-0,33%"
"29/01/2014","1.709,99","1.721,88","1.742,53","1.693,68","-","-0,71%"
"28/01/2014","1.722,17","1.718,06","1.725,74","1.714,63","-","0,54%"
"27/01/2014","1.712,84","1.730,05","1.730,17","1.709,09","-","-0,91%"
"24/01/2014","1.728,62","1.772,03","1.773,46","1.726,73","-","-2,33%"
"23/01/2014","1.769,88","1.772,29","1.783,30","1.766,35","-","-0,15%"
"22/01/2014","1.772,54","1.770,15","1.775,96","1.764,55","-","0,24%"
"21/01/2014","1.768,36","1.768,63","1.777,77","1.766,93","-","-0,04%"
"20/01/2014","1.769,06","1.766,10","1.769,96","1.762,48","-","-0,05%"
"17/01/2014","1.769,91","1.765,71","1.776,28","1.763,79","-","0,21%"
"16/01/2014","1.766,14","1.768,38","1.772,22","1.763,95","-","-0,06%"
"15/01/2014","1.767,13","1.758,37","1.769,01","1.758,33","-","0,33%"
"14/01/2014","1.761,23","1.745,74","1.761,23","1.736,71","-","0,41%"
"13/01/2014","1.753,97","1.752,53","1.758,82","1.748,55","-","0,10%"
"10/01/2014","1.752,25","1.735,55","1.754,62","1.735,54","-","1,10%"
"09/01/2014","1.733,24","1.741,37","1.749,84","1.730,78","-","-0,53%"
"08/01/2014","1.742,49","1.742,84","1.744,15","1.735,48","-","0,06%"
"07/01/2014","1.741,52","1.731,54","1.745,36","1.728,81","-","0,47%"
"06/01/2014","1.733,29","1.726,93","1.736,86","1.725,31","-","-0,01%"
"03/01/2014","1.733,48","1.730,20","1.737,56","1.724,41","-","0,21%"
"02/01/2014","1.729,85","1.756,56","1.758,35","1.728,73","-","-1,67%"
"01/01/2014","1.759,20","1.759,20","1.759,20","1.759,20","-","0,00%"
"31/12/2013","1.759,20","1.755,25","1.759,64","1.754,63","-","0,10%"
"30/12/2013","1.757,42","1.754,01","1.759,42","1.749,88","-","0,08%"
"27/12/2013","1.756,07","1.738,55","1.762,74","1.738,55","-","1,66%"
"26/12/2013","1.727,40","1.727,40","1.727,40","1.727,40","-","0,22%"
"25/12/2013","1.723,53","1.723,53","1.723,53","1.723,53","-","0,00%"
"24/12/2013","1.723,53","1.721,58","1.725,22","1.721,21","-","-0,03%"
"23/12/2013","1.724,02","1.709,86","1.724,33","1.709,86","-","0,98%"
"20/12/2013","1.707,28","1.693,56","1.711,40","1.693,56","-","0,55%"
"19/12/2013","1.697,91","1.673,38","1.699,11","1.673,13","-","1,03%"
"18/12/2013","1.680,59","1.667,78","1.682,26","1.667,26","-","1,09%"
"17/12/2013","1.662,49","1.680,18","1.681,35","1.662,49","-","-0,92%"
"16/12/2013","1.677,91","1.658,10","1.681,65","1.654,15","-","1,45%"
"13/12/2013","1.653,93","1.659,51","1.664,65","1.652,08","-","-0,33%"
"12/12/2013","1.659,47","1.680,50","1.681,10","1.658,50","-","-1,21%"
"11/12/2013","1.679,72","1.686,23","1.692,49","1.678,21","-","-0,37%"
"10/12/2013","1.686,00","1.696,42","1.699,22","1.684,71","-","-0,36%"
"09/12/2013","1.692,14","1.685,89","1.693,87","1.685,18","-","0,45%"
"06/12/2013","1.684,55","1.669,99","1.686,62","1.664,90","-","0,88%"
"05/12/2013","1.669,90","1.679,65","1.679,97","1.669,50","-","-0,17%"
"04/12/2013","1.672,79","1.684,72","1.688,30","1.665,52","-","-0,83%"
"03/12/2013","1.686,83","1.708,94","1.709,11","1.686,83","-","-1,29%"
"02/12/2013","1.708,86","1.723,25","1.725,22","1.706,78","-","-0,76%"
"29/11/2013","1.722,02","1.719,64","1.725,36","1.718,84","-","0,10%"
"28/11/2013","1.720,26","1.712,21","1.722,13","1.712,14","-","0,53%"
"27/11/2013","1.711,23","1.703,39","1.716,18","1.702,89","-","0,64%"
"26/11/2013","1.700,38","1.708,70","1.711,78","1.698,92","-","-0,26%"
"25/11/2013","1.704,79","1.706,89","1.710,72","1.702,72","-","0,28%"
"22/11/2013","1.700,08","1.694,44","1.704,32","1.694,44","-","0,55%"
"21/11/2013","1.690,70","1.679,09","1.694,38","1.674,23","-","-0,18%"
"20/11/2013","1.693,74","1.700,97","1.703,11","1.691,07","-","-0,31%"
"19/11/2013","1.699,07","1.709,22","1.709,69","1.695,17","-","-0,66%"
"18/11/2013","1.710,38","1.698,32","1.713,41","1.694,61","-","0,91%"
"15/11/2013","1.694,93","1.689,10","1.698,23","1.686,49","-","0,32%"
"14/11/2013","1.689,46","1.674,58","1.692,40","1.674,58","-","1,23%"
"13/11/2013","1.668,93","1.681,12","1.681,40","1.662,38","-","-0,81%"
"12/11/2013","1.682,58","1.685,82","1.686,58","1.674,16","-","-0,35%"
"11/11/2013","1.688,57","1.679,09","1.690,78","1.678,31","-","0,69%"
"08/11/2013","1.676,99","1.688,25","1.688,25","1.664,57","-","-0,38%"
"07/11/2013","1.683,42","1.701,00","1.704,60","1.680,49","-","-1,06%"
"06/11/2013","1.701,43","1.691,44","1.707,40","1.691,18","-","0,78%"
"05/11/2013","1.688,27","1.694,85","1.697,21","1.678,15","-","-0,44%"
"04/11/2013","1.695,79","1.688,54","1.699,08","1.688,08","-","0,51%"
"01/11/2013","1.687,15","1.699,33","1.701,57","1.684,63","-","-1,05%"
"31/10/2013","1.705,04","1.711,76","1.712,10","1.700,32","-","-0,86%"
"30/10/2013","1.719,77","1.716,67","1.729,87","1.715,81","-","0,02%"
"29/10/2013","1.719,35","1.712,74","1.720,91","1.711,61","-","0,25%"
"28/10/2013","1.715,09","1.720,00","1.726,33","1.710,67","-","-0,21%"
"25/10/2013","1.718,69","1.723,76","1.723,76","1.716,30","-","-0,13%"
"24/10/2013","1.720,97","1.716,96","1.722,86","1.712,80","-","0,60%"
"23/10/2013","1.710,67","1.718,52","1.718,87","1.703,35","-","-0,56%"
"22/10/2013","1.720,30","1.698,08","1.724,50","1.697,03","-","1,21%"
"21/10/2013","1.699,66","1.694,94","1.699,66","1.693,22","-","0,18%"
"18/10/2013","1.696,60","1.682,55","1.696,86","1.682,28","-","1,01%"
"17/10/2013","1.679,58","1.663,66","1.680,45","1.660,26","-","1,41%"
"16/10/2013","1.656,22","1.650,52","1.661,01","1.648,58","-","0,17%"
"15/10/2013","1.653,45","1.646,96","1.658,35","1.646,96","-","0,22%"
"14/10/2013","1.649,84","1.645,38","1.649,84","1.637,70","-","0,36%"
"11/10/2013","1.643,92","1.638,18","1.645,63","1.635,46","-","0,74%"
"10/10/2013","1.631,85","1.603,01","1.634,23","1.602,59","-","1,72%"
"09/10/2013","1.604,28","1.611,87","1.614,71","1.600,58","-","-1,15%"
"08/10/2013","1.622,87","1.631,85","1.633,53","1.619,82","-","-0,58%"
"07/10/2013","1.632,40","1.636,09","1.636,53","1.619,73","-","-0,41%"
"04/10/2013","1.639,08","1.640,21","1.641,95","1.633,52","-","-0,10%"
"03/10/2013","1.640,76","1.643,90","1.648,91","1.638,65","-","-0,16%"
"02/10/2013","1.643,36","1.639,87","1.644,51","1.631,00","-","-0,20%"
"01/10/2013","1.646,66","1.642,91","1.648,63","1.638,14","-","0,65%"
"30/09/2013","1.636,10","1.642,76","1.642,76","1.625,86","-","-0,59%"
"27/09/2013","1.645,86","1.647,44","1.650,54","1.638,00","-","0,17%"
"26/09/2013","1.643,02","1.646,83","1.650,14","1.639,69","-","-0,17%"
"25/09/2013","1.645,83","1.640,51","1.648,80","1.636,69","-","0,05%"
"24/09/2013","1.644,98","1.643,42","1.649,43","1.639,08","-","0,15%"
"23/09/2013","1.642,45","1.655,45","1.656,94","1.639,27","-","-0,62%"
"20/09/2013","1.652,71","1.659,92","1.661,68","1.652,28","-","-0,52%"
"19/09/2013","1.661,41","1.649,03","1.672,57","1.649,03","-","2,05%"
"18/09/2013","1.628,10","1.622,35","1.630,15","1.620,79","-","0,44%"
"17/09/2013","1.620,89","1.627,61","1.628,06","1.620,45","-","-0,50%"
"16/09/2013","1.629,05","1.619,52","1.635,11","1.619,52","-","1,33%"
"13/09/2013","1.607,62","1.606,47","1.609,87","1.601,96","-","-0,14%"
"12/09/2013","1.609,85","1.610,15","1.613,31","1.601,63","-","0,02%"
"11/09/2013","1.609,50","1.598,24","1.609,96","1.597,13","-","0,64%"
"10/09/2013","1.599,31","1.578,19","1.600,37","1.576,73","-","1,37%"
"09/09/2013","1.577,64","1.569,82","1.579,53","1.564,74","-","0,59%"
"06/09/2013","1.568,32","1.557,65","1.569,16","1.552,49","-","0,79%"
"05/09/2013","1.555,96","1.550,97","1.562,63","1.550,13","-","0,13%"
"04/09/2013","1.553,96","1.548,22","1.555,82","1.538,37","-","0,52%"
"03/09/2013","1.545,99","1.554,61","1.558,22","1.543,47","-","-0,65%"
"02/09/2013","1.556,15","1.533,29","1.562,51","1.532,67","-","1,86%"
"30/08/2013","1.527,71","1.548,46","1.549,75","1.527,71","-","-1,21%"
"29/08/2013","1.546,40","1.542,33","1.551,28","1.539,39","-","-0,17%"
"28/08/2013","1.548,96","1.555,35","1.556,27","1.538,57","-","-0,72%"
"27/08/2013","1.560,19","1.584,36","1.584,36","1.554,71","-","-1,61%"
"26/08/2013","1.585,66","1.587,02","1.587,25","1.579,99","-","-0,27%"
"23/08/2013","1.589,93","1.577,39","1.591,45","1.570,82","-","0,83%"
"22/08/2013","1.576,90","1.560,77","1.581,05","1.559,96","-","0,74%"
"21/08/2013","1.565,39","1.579,39","1.579,72","1.563,40","-","-0,94%"
"20/08/2013","1.580,22","1.583,11","1.583,19","1.563,96","-","-0,25%"
"19/08/2013","1.584,18","1.590,37","1.592,47","1.582,18","-","-0,42%"
"16/08/2013","1.590,79","1.584,62","1.590,87","1.580,96","-","0,92%"
"15/08/2013","1.576,22","1.595,36","1.595,78","1.563,65","-","-1,12%"
"14/08/2013","1.594,13","1.588,04","1.595,76","1.585,64","-","0,46%"
"13/08/2013","1.586,89","1.585,86","1.595,37","1.579,69","-","0,14%"
"12/08/2013","1.584,68","1.586,24","1.590,86","1.575,99","-","-0,36%"
"09/08/2013","1.590,48","1.584,49","1.594,14","1.582,79","-","0,34%"
"08/08/2013","1.585,08","1.572,65","1.586,59","1.572,58","-","0,92%"
"07/08/2013","1.570,63","1.571,17","1.574,07","1.558,28","-","-0,18%"
"06/08/2013","1.573,41","1.573,23","1.581,62","1.566,62","-","0,13%"
"05/08/2013","1.571,37","1.573,98","1.583,03","1.566,64","-","-0,16%"
"02/08/2013","1.573,95","1.561,23","1.575,70","1.560,63","-","0,62%"
"01/08/2013","1.564,19","1.548,90","1.564,81","1.548,90","-","0,82%"
"31/07/2013","1.551,48","1.545,04","1.556,02","1.540,53","-","0,27%"
"30/07/2013","1.547,23","1.545,94","1.556,36","1.545,54","-","0,06%"
"29/07/2013","1.546,37","1.547,58","1.557,85","1.543,95","-","-0,03%"
"26/07/2013","1.546,91","1.555,20","1.563,68","1.543,86","-","-0,02%"
"25/07/2013","1.547,27","1.553,45","1.553,45","1.532,46","-","-0,50%"
"24/07/2013","1.554,97","1.545,16","1.561,74","1.545,16","-","0,71%"
"23/07/2013","1.544,01","1.544,04","1.553,41","1.542,72","-","-0,10%"
"22/07/2013","1.545,49","1.538,26","1.547,51","1.535,87","-","0,56%"
"19/07/2013","1.536,86","1.535,01","1.537,36","1.526,13","-","0,39%"
"18/07/2013","1.530,88","1.518,46","1.531,91","1.513,99","-","0,86%"
"17/07/2013","1.517,83","1.513,21","1.530,00","1.506,56","-","0,25%"
"16/07/2013","1.513,98","1.517,02","1.520,56","1.508,25","-","-0,07%"
"15/07/2013","1.515,09","1.506,86","1.519,84","1.505,63","-","0,45%"
"12/07/2013","1.508,29","1.514,30","1.518,91","1.504,57","-","-0,03%"
"11/07/2013","1.508,71","1.514,18","1.517,00","1.502,93","-","2,00%"
"10/07/2013","1.479,06","1.471,90","1.479,06","1.465,97","-","0,68%"
"09/07/2013","1.469,01","1.469,84","1.484,25","1.465,49","-","0,14%"
"08/07/2013","1.466,89","1.451,78","1.472,66","1.451,31","-","1,65%"
"05/07/2013","1.443,03","1.470,06","1.472,84","1.442,08","-","-1,95%"
"04/07/2013","1.471,67","1.446,17","1.472,85","1.446,15","-","1,88%"
"03/07/2013","1.444,46","1.454,77","1.454,82","1.426,35","-","-1,07%"
"02/07/2013","1.460,04","1.468,66","1.470,27","1.449,12","-","-0,43%"
"01/07/2013","1.466,36","1.457,96","1.469,21","1.448,34","-","1,42%"
"28/06/2013","1.445,83","1.458,21","1.464,77","1.444,99","-","-0,53%"
"27/06/2013","1.453,48","1.445,24","1.462,10","1.442,55","-","0,64%"
"26/06/2013","1.444,21","1.428,55","1.449,96","1.426,67","-","1,16%"
"25/06/2013","1.427,68","1.415,17","1.434,51","1.415,14","-","1,29%"
"24/06/2013","1.409,47","1.434,80","1.434,80","1.406,07","-","-1,95%"
"21/06/2013","1.437,55","1.464,68","1.478,48","1.434,71","-","-1,43%"
"20/06/2013","1.458,39","1.508,85","1.509,64","1.456,52","-","-4,62%"
"19/06/2013","1.528,99","1.533,47","1.536,41","1.522,92","-","-0,15%"
"18/06/2013","1.531,26","1.525,21","1.536,26","1.518,86","-","0,25%"
"17/06/2013","1.527,48","1.514,54","1.535,37","1.513,92","-","0,80%"
"14/06/2013","1.515,43","1.510,98","1.521,68","1.509,35","-","0,47%"
"13/06/2013","1.508,35","1.516,99","1.516,99","1.489,88","-","-0,35%"
"12/06/2013","1.513,58","1.517,39","1.524,24","1.511,91","-","0,08%"
"11/06/2013","1.512,32","1.528,12","1.528,58","1.497,48","-","-0,54%"
"10/06/2013","1.520,58","1.522,33","1.528,18","1.516,16","-","-0,25%"
"07/06/2013","1.524,45","1.509,05","1.527,32","1.502,47","-","1,48%"
"06/06/2013","1.502,18","1.511,13","1.516,86","1.502,18","-","-0,35%"
"05/06/2013","1.507,39","1.531,88","1.531,88","1.506,97","-","-1,38%"
"04/06/2013","1.528,50","1.521,84","1.536,33","1.521,62","-","0,64%"
"03/06/2013","1.518,72","1.530,58","1.532,36","1.511,81","-","-0,23%"
"31/05/2013","1.522,27","1.546,83","1.546,96","1.522,27","-","-1,63%"
"30/05/2013","1.547,44","1.532,89","1.548,67","1.528,82","-","1,03%"
"29/05/2013","1.531,67","1.547,93","1.548,22","1.528,70","-","-1,01%"
"28/05/2013","1.547,25","1.535,89","1.559,53","1.535,89","-","0,60%"
"27/05/2013","1.537,97","1.532,35","1.538,98","1.531,99","-","0,39%"
"24/05/2013","1.532,05","1.536,10","1.545,57","1.527,37","-","0,00%"
"23/05/2013","1.532,01","1.559,43","1.559,77","1.525,44","-","-1,92%"
"22/05/2013","1.562,08","1.560,66","1.575,75","1.555,58","-","0,24%"
"21/05/2013","1.558,39","1.557,74","1.563,21","1.545,59","-","0,21%"
"20/05/2013","1.555,13","1.549,04","1.557,26","1.546,29","-","0,58%"
"17/05/2013","1.546,10","1.545,03","1.552,28","1.539,88","-","-0,46%"
"16/05/2013","1.553,28","1.547,36","1.554,42","1.541,95","-","0,36%"
"15/05/2013","1.547,69","1.542,44","1.548,20","1.538,22","-","-0,19%"
"14/05/2013","1.550,60","1.545,29","1.551,50","1.535,07","-","0,37%"
"13/05/2013","1.544,81","1.548,11","1.550,67","1.537,74","-","-0,10%"
"10/05/2013","1.546,28","1.547,17","1.557,88","1.539,95","-","-0,54%"
"09/05/2013","1.554,66","1.560,88","1.562,57","1.551,37","-","-0,59%"
"08/05/2013","1.563,87","1.546,86","1.566,00","1.545,02","-","1,31%"
"07/05/2013","1.543,60","1.538,23","1.551,31","1.537,08","-","0,47%"
"06/05/2013","1.536,43","1.542,33","1.543,22","1.535,17","-","-0,47%"
"03/05/2013","1.543,63","1.524,77","1.547,75","1.524,43","-","1,39%"
"02/05/2013","1.522,42","1.528,32","1.539,13","1.513,39","-","-0,56%"
"01/05/2013","1.531,05","1.527,07","1.538,03","1.527,07","-","0,12%"
"30/04/2013","1.529,22","1.521,57","1.529,22","1.519,37","-","0,44%"
"29/04/2013","1.522,55","1.509,87","1.523,16","1.509,77","-","1,08%"
"26/04/2013","1.506,26","1.511,34","1.512,14","1.496,76","-","-0,20%"
"25/04/2013","1.509,26","1.502,36","1.515,82","1.496,39","-","0,82%"
"24/04/2013","1.496,94","1.486,02","1.497,99","1.484,90","-","0,57%"
"23/04/2013","1.488,42","1.455,37","1.488,42","1.453,68","-","2,32%"
"22/04/2013","1.454,63","1.455,05","1.467,80","1.450,32","-","-0,23%"
"19/04/2013","1.458,02","1.449,34","1.465,77","1.449,34","-","0,52%"
"18/04/2013","1.450,43","1.447,36","1.458,10","1.441,19","-","0,30%"
"17/04/2013","1.446,16","1.484,32","1.491,44","1.443,02","-","-2,21%"
"16/04/2013","1.478,88","1.484,05","1.489,35","1.468,64","-","-0,43%"
"15/04/2013","1.485,24","1.493,44","1.495,82","1.474,30","-","-0,76%"
"12/04/2013","1.496,59","1.511,13","1.511,13","1.491,42","-","-1,10%"
"11/04/2013","1.513,27","1.499,24","1.516,08","1.496,07","-","0,88%"
"10/04/2013","1.500,01","1.474,19","1.501,87","1.473,86","-","1,95%"
"09/04/2013","1.471,28","1.465,69","1.476,18","1.464,19","-","0,45%"
"08/04/2013","1.464,71","1.459,69","1.471,99","1.459,69","-","0,12%"
"05/04/2013","1.462,94","1.471,66","1.472,99","1.449,84","-","-0,24%"
"04/04/2013","1.466,47","1.476,99","1.480,76","1.462,65","-","-0,98%"
"03/04/2013","1.481,01","1.489,16","1.493,25","1.479,92","-","-0,87%"
"02/04/2013","1.494,08","1.478,01","1.494,84","1.477,78","-","1,15%"
"01/04/2013","1.477,15","1.477,15","1.477,15","1.477,15","-","0,11%"
"29/03/2013","1.475,46","1.475,46","1.475,46","1.475,46","-","0,00%"
"28/03/2013","1.475,46","1.464,98","1.481,31","1.459,88","-","0,90%"
"27/03/2013","1.462,32","1.474,37","1.480,24","1.451,86","-","-1,01%"
"26/03/2013","1.477,25","1.476,58","1.482,45","1.470,80","-","-0,01%"
"25/03/2013","1.477,41","1.493,98","1.511,15","1.473,83","-","-1,16%"
"22/03/2013","1.494,70","1.486,67","1.500,74","1.480,20","-","0,41%"
"21/03/2013","1.488,53","1.498,53","1.499,27","1.478,73","-","-0,88%"
"20/03/2013","1.501,73","1.490,05","1.506,40","1.489,61","-","0,80%"
"19/03/2013","1.489,78","1.502,79","1.505,23","1.483,59","-","-1,00%"
"18/03/2013","1.504,77","1.487,92","1.509,70","1.485,32","-","-0,95%"
"15/03/2013","1.519,26","1.523,62","1.525,37","1.514,80","-","-0,18%"
"14/03/2013","1.521,93","1.497,36","1.522,09","1.496,59","-","1,63%"
"13/03/2013","1.497,45","1.507,87","1.510,82","1.490,51","-","-0,48%"
"12/03/2013","1.504,71","1.504,11","1.512,56","1.499,95","-","-0,10%"
"11/03/2013","1.506,29","1.503,21","1.506,29","1.495,67","-","0,40%"
"08/03/2013","1.500,33","1.499,67","1.514,52","1.498,09","-","-0,11%"
"07/03/2013","1.502,05","1.488,87","1.505,98","1.488,75","-","0,81%"
"06/03/2013","1.489,92","1.500,88","1.507,16","1.489,89","-","-0,50%"
"05/03/2013","1.497,46","1.478,08","1.500,54","1.478,08","-","1,86%"
"04/03/2013","1.470,06","1.469,71","1.473,10","1.461,60","-","-0,01%"
"01/03/2013","1.470,22","1.481,66","1.486,57","1.456,61","-","-0,87%"
"28/02/2013","1.483,18","1.475,35","1.486,09","1.475,35","-","0,75%"
"27/02/2013","1.472,20","1.455,56","1.473,16","1.452,50","-","1,30%"
"26/02/2013","1.453,35","1.482,33","1.483,17","1.453,00","-","-2,40%"
"25/02/2013","1.489,16","1.485,21","1.508,59","1.483,87","-","0,24%"
"22/02/2013","1.485,61","1.472,80","1.489,92","1.472,77","-","0,92%"
"21/02/2013","1.472,08","1.500,53","1.501,58","1.466,71","-","-2,49%"
"20/02/2013","1.509,63","1.520,08","1.523,37","1.506,43","-","-0,48%"
"19/02/2013","1.516,88","1.494,93","1.517,68","1.494,93","-","1,31%"
"18/02/2013","1.497,26","1.497,08","1.499,32","1.492,06","-","-0,22%"
"15/02/2013","1.500,50","1.503,89","1.508,77","1.497,32","-","-0,01%"
"14/02/2013","1.500,72","1.511,19","1.515,76","1.493,92","-","-0,97%"
"13/02/2013","1.515,39","1.512,61","1.523,48","1.510,39","-","0,21%"
"12/02/2013","1.512,21","1.495,35","1.512,35","1.491,56","-","0,95%"
"11/02/2013","1.498,00","1.502,19","1.506,50","1.491,81","-","-0,32%"
"08/02/2013","1.502,79","1.489,69","1.506,15","1.489,32","-","0,92%"
"07/02/2013","1.489,07","1.508,31","1.518,12","1.486,26","-","-1,31%"
"06/02/2013","1.508,86","1.512,50","1.520,86","1.499,78","-","-0,47%"
"05/02/2013","1.515,95","1.502,50","1.519,89","1.501,56","-","0,64%"
"04/02/2013","1.506,35","1.540,48","1.540,62","1.505,92","-","-2,46%"
"01/02/2013","1.544,41","1.532,40","1.547,88","1.532,21","-","0,94%"
"31/01/2013","1.529,99","1.536,78","1.537,22","1.524,22","-","-0,40%"
"30/01/2013","1.536,20","1.537,02","1.539,86","1.532,82","-","0,06%"
"29/01/2013","1.535,23","1.526,02","1.535,32","1.520,74","-","0,61%"
"28/01/2013","1.525,94","1.525,17","1.531,65","1.523,52","-","-0,15%"
"25/01/2013","1.528,21","1.517,11","1.530,01","1.514,13","-","0,89%"
"24/01/2013","1.514,71","1.502,67","1.515,30","1.495,26","-","0,89%"
"23/01/2013","1.501,38","1.497,76","1.507,03","1.497,02","-","0,19%"
"22/01/2013","1.498,46","1.504,02","1.505,85","1.488,74","-","-0,16%"
"21/01/2013","1.500,90","1.497,61","1.503,34","1.496,57","-","0,25%"
"18/01/2013","1.497,15","1.505,74","1.509,63","1.494,68","-","-0,44%"
"17/01/2013","1.503,72","1.489,38","1.506,66","1.488,61","-","0,93%"
"16/01/2013","1.489,91","1.490,35","1.493,13","1.480,49","-","-0,33%"
"15/01/2013","1.494,82","1.496,47","1.502,07","1.487,36","-","-0,21%"
"14/01/2013","1.498,00","1.506,65","1.510,54","1.494,58","-","-0,29%"
"11/01/2013","1.502,40","1.493,19","1.502,92","1.489,02","-","0,77%"
"10/01/2013","1.490,93","1.476,21","1.493,46","1.472,19","-","1,03%"
"09/01/2013","1.475,77","1.467,91","1.476,83","1.466,66","-","0,65%"
"08/01/2013","1.466,21","1.473,29","1.479,82","1.465,47","-","-0,40%"
"07/01/2013","1.472,10","1.472,88","1.473,42","1.466,44","-","0,05%"
"04/01/2013","1.471,35","1.463,98","1.473,18","1.457,62","-","-0,15%"
"03/01/2013","1.473,58","1.472,36","1.476,60","1.466,55","-","-0,02%"
"02/01/2013","1.473,83","1.455,65","1.484,08","1.453,95","-","1,94%"
"01/01/2013","1.445,76","1.445,76","1.445,76","1.445,76","-","0,00%"
"31/12/2012","1.445,76","1.441,29","1.448,51","1.438,77","-","-0,01%"
"28/12/2012","1.445,84","1.456,61","1.459,65","1.443,40","-","-0,42%"
"27/12/2012","1.451,96","1.454,76","1.465,65","1.451,74","-","-0,10%"
"26/12/2012","1.453,44","1.453,44","1.453,44","1.453,44","-","0,14%"
"25/12/2012","1.451,40","1.451,40","1.451,40","1.451,40","-","0,11%"
"24/12/2012","1.449,81","1.452,64","1.456,31","1.449,27","-","-0,01%"
"21/12/2012","1.450,01","1.459,46","1.459,71","1.446,93","-","-0,88%"
"20/12/2012","1.462,81","1.461,22","1.468,74","1.457,14","-","-0,07%"
"19/12/2012","1.463,88","1.456,17","1.471,15","1.456,00","-","0,63%"
"18/12/2012","1.454,71","1.441,62","1.456,93","1.441,31","-","0,87%"
"17/12/2012","1.442,14","1.441,86","1.443,13","1.433,97","-","-0,02%"
"14/12/2012","1.442,38","1.436,89","1.442,86","1.431,50","-","0,64%"
"13/12/2012","1.433,16","1.439,92","1.440,79","1.431,36","-","-0,40%"
"12/12/2012","1.438,96","1.430,43","1.438,96","1.428,53","-","0,62%"
"11/12/2012","1.430,13","1.418,59","1.432,70","1.416,40","-","0,83%"
"10/12/2012","1.418,29","1.412,67","1.418,52","1.404,75","-","0,06%"
"07/12/2012","1.417,41","1.415,52","1.419,88","1.408,61","-","0,02%"
"06/12/2012","1.417,10","1.417,85","1.431,67","1.417,02","-","-0,29%"
"05/12/2012","1.421,23","1.419,70","1.428,02","1.415,64","-","0,24%"
"04/12/2012","1.417,77","1.415,89","1.422,71","1.412,43","-","0,12%"
"03/12/2012","1.416,11","1.408,90","1.425,05","1.408,88","-","0,62%"
"30/11/2012","1.407,37","1.410,52","1.414,48","1.406,92","-","0,07%"
"29/11/2012","1.406,41","1.387,11","1.409,11","1.387,01","-","1,43%"
"28/11/2012","1.386,65","1.383,02","1.386,65","1.370,71","-","0,14%"
"27/11/2012","1.384,78","1.386,43","1.395,86","1.380,55","-","0,05%"
"26/11/2012","1.384,08","1.391,91","1.392,23","1.380,64","-","-0,65%"
"23/11/2012","1.393,16","1.377,00","1.393,51","1.370,15","-","1,45%"
"22/11/2012","1.373,21","1.362,30","1.374,99","1.361,53","-","1,00%"
"21/11/2012","1.359,63","1.351,11","1.361,04","1.345,41","-","0,40%"
"20/11/2012","1.354,21","1.349,84","1.355,78","1.342,86","-","0,30%"
"19/11/2012","1.350,22","1.316,90","1.351,14","1.316,00","-","2,91%"
"16/11/2012","1.312,01","1.331,41","1.332,81","1.310,61","-","-1,52%"
"15/11/2012","1.332,31","1.340,52","1.341,17","1.330,39","-","-0,67%"
"14/11/2012","1.341,25","1.351,09","1.354,02","1.338,48","-","-0,71%"
"13/11/2012","1.350,79","1.343,73","1.352,32","1.331,30","-","0,43%"
"12/11/2012","1.344,95","1.347,65","1.351,28","1.343,21","-","-0,33%"
"09/11/2012","1.349,42","1.354,24","1.356,63","1.333,88","-","-0,28%"
"08/11/2012","1.353,21","1.357,24","1.366,20","1.349,28","-","-0,31%"
"07/11/2012","1.357,36","1.386,80","1.395,72","1.356,64","-","-1,77%"
"06/11/2012","1.381,81","1.370,98","1.382,31","1.370,15","-","0,83%"
"05/11/2012","1.370,37","1.382,99","1.382,99","1.367,94","-","-1,08%"
"02/11/2012","1.385,28","1.384,99","1.391,63","1.380,38","-","-0,25%"
"01/11/2012","1.388,82","1.372,67","1.393,16","1.370,51","-","0,97%"
"31/10/2012","1.375,42","1.383,92","1.393,58","1.374,54","-","-0,54%"
"30/10/2012","1.382,95","1.368,42","1.384,33","1.368,42","-","1,40%"
"29/10/2012","1.363,83","1.370,15","1.370,24","1.359,05","-","-0,62%"
"26/10/2012","1.372,38","1.370,68","1.377,08","1.356,72","-","-0,09%"
"25/10/2012","1.373,57","1.375,54","1.386,71","1.371,82","-","0,16%"
