Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691439
,SEC.M.A1.1000.F33000.N.4.EUR.E.Z,SEC.M.A1.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.Z01.E.S,SEC.M.I8.1000.F33000.N.4.Z01.E.Z,SEC.M.I8.1000.F33000.N.4.Z06.E.Z,SEC.M.I8.1000.F33100.N.4.EUR.E.Z,SEC.M.I8.1000.F33100.N.4.Z01.E.Z,SEC.M.I8.1000.F33100.N.4.Z06.E.Z,SEC.M.I8.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33200.N.4.Z01.E.S,SEC.M.I8.1000.F33200.N.4.Z01.E.Z,SEC.M.I8.1000.F33200.N.4.Z06.E.Z,SEC.M.I8.1000.F33201.N.4.EUR.E.Z,SEC.M.I8.1000.F33201.N.4.Z01.E.Z,SEC.M.I8.1000.F33201.N.4.Z06.E.Z,SEC.M.I8.1000.F33202.N.4.EUR.E.Z,SEC.M.I8.1000.F33202.N.4.Z01.E.Z,SEC.M.I8.1000.F33202.N.4.Z06.E.Z,SEC.M.I8.1100.F33000.N.4.Z01.E.S,SEC.M.I8.1100.F33000.N.4.Z01.E.Z,SEC.M.I8.1100.F33100.N.4.Z01.E.Z,SEC.M.I8.1100.F33200.N.4.Z01.E.S,SEC.M.I8.1100.F33200.N.4.Z01.E.Z,SEC.M.I8.1100.F33201.N.4.Z01.E.Z,SEC.M.I8.1100.F33202.N.4.Z01.E.Z,SEC.M.I8.1235.F33000.N.4.Z01.E.S,SEC.M.I8.1235.F33000.N.4.Z01.E.Z,SEC.M.I8.1235.F33100.N.4.Z01.E.Z,SEC.M.I8.1235.F33200.N.4.Z01.E.S,SEC.M.I8.1235.F33200.N.4.Z01.E.Z,SEC.M.I8.1235.F33201.N.4.Z01.E.Z,SEC.M.I8.1235.F33202.N.4.Z01.E.Z,SEC.M.I8.12A0.F33000.N.4.Z01.E.S,SEC.M.I8.12A0.F33000.N.4.Z01.E.Z,SEC.M.I8.12A0.F33100.N.4.Z01.E.Z,SEC.M.I8.12A0.F33200.N.4.Z01.E.S,SEC.M.I8.12A0.F33200.N.4.Z01.E.Z,SEC.M.I8.12A0.F33201.N.4.Z01.E.Z,SEC.M.I8.12A0.F33202.N.4.Z01.E.Z,SEC.M.I8.1300.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33000.N.4.Z01.E.S,SEC.M.I8.130D.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33100.N.4.Z01.E.Z,SEC.M.I8.130D.F33200.N.4.Z01.E.S,SEC.M.I8.130D.F33200.N.4.Z01.E.Z,SEC.M.I8.1311.F33000.N.4.Z01.E.S,SEC.M.I8.1311.F33000.N.4.Z01.E.Z,SEC.M.I8.1311.F33200.N.4.Z01.E.S,SEC.M.I8.1311.F33200.N.4.Z01.E.Z
2018Apr,-989.718,-4667.104,3985.923,23990.000,-959.494,-4945.417,14678.121,14241.779,-436.342,-10692.198,9599.000,-15201.273,-4509.075,24274.336,20245.516,-4028.820,-44198.021,-45312.816,-1114.795,2779.000,11364.376,9134.194,1215.000,2230.181,4139.732,-1527.580,6253.000,13314.776,7180.657,-453.000,6134.119,27105.770,-20215.308,503.000,-4337.334,-517.966,-2315.000,-3819.368,-1415.489,-4272.809,-21301.311,4579.000,1499.775,1595.963,2172.000,-96.188,9877.000,-22801.086,8979.000,-19650.017
2018Mar,133402.858,95709.493,99253.892,51162.000,96704.968,-2548.924,18418.863,22490.844,5657.154,82420.201,50001.000,74214.124,-8206.077,74007.902,60159.201,-13848.701,12280.725,14414.933,2134.208,17193.000,26673.115,3829.838,14869.000,22843.277,21702.813,-40.850,11976.000,6806.527,5818.520,8299.000,988.007,-7848.423,6060.196,21435.000,16473.111,1621.285,19654.000,14851.826,13921.142,334.456,46752.215,-8631.000,-2473.952,2211.101,-6742.000,-4685.053,9190.000,49226.167,13921.000,40216.067
2018Feb,4557.260,-2594.605,-3163.305,11148.000,14418.218,17581.523,2442.914,13727.638,11284.724,-5606.219,5577.000,690.580,6296.799,7529.137,13252.756,5723.619,-8879.915,-7948.499,931.416,-125.000,-611.469,3560.707,183.000,-4172.176,-5233.986,904.230,19507.000,874.430,3502.724,18118.000,-2628.294,3908.951,-8281.222,-16745.000,-974.395,6907.834,-18337.000,-7882.229,1003.728,-8114.817,15129.652,-7519.000,-4754.943,3176.306,-9886.000,-7931.249,16030.000,19884.595,15499.000,23304.528
2018Jan,85739.298,76863.591,76648.856,20032.000,100647.837,23998.982,22786.516,35392.625,12606.109,53862.339,31801.000,65255.212,11392.873,27801.273,41017.218,13215.946,13774.742,9273.620,-4501.121,4045.000,11139.526,6948.788,7216.000,4190.738,1845.182,1774.140,13796.000,18985.642,-323.551,15858.000,19309.193,11740.425,6045.842,3035.000,39326.469,15426.945,11981.000,23899.524,27316.881,-5207.482,31196.200,34.000,-793.336,4488.854,-2673.000,-5282.190,-877.000,31989.536,-581.000,23137.947
2017Dec,-23925.783,-5251.429,-41211.496,60922.000,-63881.785,-22670.289,-31466.601,-39350.419,-7883.818,-9744.895,42845.000,-24531.366,-14786.471,13548.401,-1040.289,-14588.690,-15863.911,-15506.324,357.587,7474.000,-9050.467,-10875.154,5362.000,1824.687,2686.920,-862.291,9787.000,5376.820,381.483,3847.000,4995.337,3179.398,2936.970,797.000,-35845.485,-3975.162,-12547.000,-31870.322,-7255.557,-19787.985,-24362.653,825.000,-3134.983,-3051.968,2593.000,-83.015,42040.000,-21227.670,43591.000,601.947
2017Nov,71589.614,72988.885,49760.633,10237.000,46558.837,-3201.796,-3808.974,-5951.446,-2142.472,53569.607,15059.000,52510.284,-1059.324,52556.007,50301.563,-2254.443,1581.052,1441.740,-139.312,8716.000,8532.887,-3036.516,9076.000,11569.403,6101.143,5428.470,-1668.000,2613.571,-1459.077,-454.000,4072.648,2147.873,3053.527,-3250.000,-1089.392,-4188.186,-190.000,3098.794,5523.758,-1859.927,36501.771,124.000,2165.542,-927.933,1452.000,3093.475,6315.000,34336.229,5175.000,30675.964
2017Oct,-47937.508,-36134.410,-34617.023,-41483.000,-53468.734,-18851.711,-7502.067,-30790.402,-23288.335,-27114.956,-20488.000,-22678.332,4436.624,-8876.061,-1758.226,7117.835,-25994.122,-27886.281,-1892.159,3321.000,4340.163,2712.135,1972.000,1628.027,1870.897,-746.933,-37609.000,-29588.818,-7399.634,-32019.000,-22189.184,-6212.964,-17748.545,919.000,4495.559,-1789.973,371.000,6285.532,8742.393,1036.506,-32715.638,-872.000,2067.794,-3476.666,3487.000,5544.460,-7243.000,-34783.432,5700.000,-13947.168
2017Sep,3478.257,12895.175,-15660.698,920.000,14186.951,29847.649,-20254.958,16174.945,36429.903,4594.260,-12609.000,-1987.994,-6582.254,34491.068,27080.803,-7410.265,-39092.913,-40485.193,-1392.279,-2001.000,801.283,-3811.908,-2291.000,4613.190,4516.618,-137.028,-12652.000,-5188.746,6894.591,-16234.000,-12083.337,-2507.693,-14675.842,1832.000,-3810.800,17062.354,-14123.000,-20873.154,-3374.929,-16777.273,22385.215,-2795.000,-5904.252,-6630.650,942.000,726.398,16537.000,28289.467,19097.000,25628.909
2017Aug,-23183.363,-21863.442,-20185.655,5201.000,-31944.455,-11758.800,-1406.219,9150.951,8922.357,-23873.417,-552.000,-41095.407,-20681.157,14023.744,-1338.466,-16118.754,-27354.571,-25690.623,-384.624,6169.000,-1072.361,-2467.527,6708.000,1395.165,846.393,525.320,-10421.000,-32932.473,4206.158,-12423.000,-37138.632,-21142.258,-17285.985,-22213.000,-17308.719,4363.281,-25005.000,-21672.000,-5604.251,-10762.848,19369.099,3455.000,6998.879,6011.393,209.000,987.486,28212.000,12370.220,29959.000,15332.574
2017Jul,24364.858,30834.243,10665.710,59803.000,32846.629,22180.919,5219.330,5742.847,523.517,5446.381,60410.000,27103.782,21657.402,13829.175,25751.978,11922.802,-15238.632,-13274.053,1964.579,14384.000,20835.681,7020.200,12966.000,13815.482,11292.507,2550.400,19247.000,36019.650,1399.464,17266.000,34620.185,35067.221,-876.026,19158.000,16187.445,9982.556,14262.000,6204.889,579.713,1387.883,-40196.147,-7451.000,-9697.793,-5783.796,-3763.000,-3913.997,14465.000,-30498.354,19679.000,-23622.777
2017Jun,26526.033,31786.415,-1106.173,9543.000,-9333.109,-8226.936,-13148.918,-14367.273,-1218.354,12042.746,1204.000,5034.164,-7008.582,39825.657,33572.654,-6253.003,-25480.218,-25151.396,328.822,5680.000,-6207.162,-13177.330,8331.000,6970.168,4832.665,1491.090,-6804.000,-18221.147,1149.030,-10674.000,-19370.177,-2770.032,-11619.358,8513.000,-6753.778,-10493.355,5915.000,3739.577,13471.489,-6513.758,21848.979,8950.000,8053.442,4753.036,2626.000,3300.406,-6796.000,13795.537,-4993.000,10394.190
2017May,143918.979,145193.185,104843.465,48914.000,112686.887,7843.422,-1257.156,1264.263,2521.419,106100.621,50039.000,111422.624,5322.003,83428.897,89740.565,6311.668,14523.339,17159.229,2635.891,9534.000,10958.881,2373.792,10009.000,8585.089,7964.588,-8.959,11608.000,22042.779,-2997.198,12860.000,25039.977,27518.418,-3682.235,4415.000,12057.134,1487.130,2949.000,10570.004,15055.944,2809.483,67628.093,3039.000,-111.743,-2511.595,3752.000,2399.852,20318.000,67739.836,20468.000,64827.703
2017Apr,-42120.356,-22760.237,-47392.720,7333.000,-9011.857,38380.864,-10008.295,-9818.902,189.394,-37384.425,17811.000,807.045,38191.470,-20862.114,16095.614,36957.728,-18515.771,-19626.720,-1110.949,2194.000,10377.459,8609.421,537.000,1768.037,3078.215,-1500.710,24751.000,39055.496,3017.797,23388.000,36037.699,43854.259,-6733.571,-23863.000,-27433.250,-18098.637,-9070.000,-9334.614,-6167.892,-621.429,-31011.561,-8268.000,-12178.129,-1775.719,-8392.000,-10402.410,12519.000,-18833.432,11349.000,-17261.668
2017Mar,97701.373,81813.106,65684.092,25833.000,61995.076,-3689.016,7087.205,19672.137,12584.933,58596.887,24623.000,42322.939,-16273.948,65956.700,68780.424,2823.724,-10799.037,-32156.378,-21357.341,3324.000,11983.944,3208.833,1498.000,8775.111,8250.082,-92.264,3562.000,-6268.849,-5436.028,10184.000,-832.821,21235.795,-21133.660,-14823.000,-21253.649,-236.599,-15466.000,-21017.050,-10426.058,-11468.544,77533.630,4511.000,11203.209,7894.309,1564.000,3308.900,29260.000,66330.421,26844.000,52088.799
2017Feb,41573.728,30656.257,17548.306,-11055.000,-2715.915,-20264.221,9231.683,19269.268,10037.584,8316.622,-20311.000,-21985.183,-30301.805,16141.336,-10955.356,-27096.691,-5953.390,-6759.063,-805.672,4460.000,4003.685,5893.106,2240.000,-1889.420,-2466.064,513.580,-9972.000,-28793.267,-250.191,-7064.000,-28543.076,-4769.635,-20778.086,8270.000,23681.698,13175.017,282.000,10506.682,1461.938,8417.623,-1608.031,1539.000,4745.892,3043.148,-772.000,1702.744,-15352.000,-6353.923,-14997.000,-3762.112
2017Jan,75175.342,51830.027,80597.203,47106.000,121199.819,40602.616,29342.635,37702.978,8360.343,51254.568,53479.000,83496.841,32242.273,57398.342,76731.780,19333.438,-11155.296,3823.391,14978.687,12612.000,17853.034,13490.110,6632.000,4362.924,4856.152,-1377.866,15013.000,19336.909,1370.417,14797.000,17966.492,17552.328,8073.539,-1306.000,35722.248,18567.711,5069.000,17154.537,26385.606,-9294.932,48287.629,-463.000,-1338.113,912.974,360.000,-2251.087,21250.000,49625.742,26621.000,46263.976
2016Dec,-84330.727,-37560.345,-89891.064,24513.000,-97913.682,-8022.618,-52573.066,-68071.459,-15498.393,-37317.998,38734.000,-29842.222,7475.775,-29335.944,-37367.390,-8031.446,3140.554,19097.398,15956.844,7614.000,-6717.022,-9587.277,6678.000,2870.254,2333.278,207.850,4680.000,1118.113,-18541.823,18792.000,19659.936,-6167.276,27015.734,-10116.000,-45970.414,-15889.038,-10821.000,-30081.376,-15826.897,-5806.655,-46344.358,156.000,-3951.862,-2796.352,1642.000,-1155.510,22179.000,-42392.496,22444.000,-21135.526
2016Nov,37994.583,52394.701,24402.120,-8032.000,31518.240,7116.120,-15403.216,-7250.988,8152.228,39805.335,-1959.000,38769.227,-1036.108,33246.181,34284.579,1038.397,-2182.206,-6747.890,-4565.684,12243.000,12362.963,-2046.493,12081.000,14409.456,13080.473,1505.487,-11368.000,-5707.773,-10309.791,-997.000,4602.018,6907.879,-6216.533,-13991.000,-11112.451,5009.342,-19858.000,-16121.793,-10461.088,-5006.149,35975.501,-5390.000,-3208.303,-2641.263,-2314.000,-567.040,10474.000,39183.804,9129.000,36446.586
2016Oct,-6347.595,-8437.079,2856.331,26939.000,18931.704,16075.374,9579.747,-10432.369,-20012.115,-6723.416,28632.000,29364.073,36087.489,-6924.808,8340.615,15265.424,-13902.716,-11021.566,2881.150,12347.000,13165.071,2506.350,10823.000,10658.721,10608.426,-100.563,20479.000,30739.821,3913.509,15262.000,26826.312,4789.411,2302.256,-19387.000,-16877.943,-9026.834,-12764.000,-7851.109,3681.691,-9526.340,-8095.243,-338.000,2343.452,436.257,351.000,1907.195,13839.000,-10438.695,14961.000,-2177.045
2016Sep,13655.864,4478.930,-1918.043,29593.000,37921.144,39839.186,2142.984,16988.873,14845.889,-4061.027,14344.000,20932.271,24993.298,6309.515,29821.773,23512.258,-28978.387,-31821.379,-2842.993,9790.000,13016.637,-1696.254,8261.000,14712.891,11722.200,-719.334,18485.000,24735.373,-481.923,21725.000,25217.297,28717.732,-13202.881,3076.000,-4609.625,15496.558,-12886.000,-20106.183,-11366.918,-12020.115,4778.758,-2960.000,-5671.470,-4136.070,-1325.000,-1535.400,1202.000,10450.228,-1430.000,2643.666
2016Aug,-13877.657,-13082.310,-17679.119,43191.000,9956.448,27635.567,172.774,14150.492,13977.718,-17851.893,32262.000,-4194.044,13657.849,-42.885,11705.594,11748.478,-4799.165,-4778.248,20.917,3015.000,-3213.115,-2098.545,3693.000,-1114.570,-1067.446,149.205,36081.000,14832.402,10922.765,26094.000,3909.637,3297.377,-1984.446,-6148.000,-671.528,4016.951,-8013.000,-4688.479,-1024.095,-4342.226,-991.312,172.000,2978.781,4113.820,-1907.000,-1135.039,10071.000,-3970.093,12395.000,-1165.593
2016Jul,-47173.819,-45430.400,-32849.973,648.000,-31257.375,1592.599,8905.972,-6686.252,-15592.224,-41755.945,15706.000,-24571.123,17184.822,-24827.352,-11712.866,13114.486,-26517.278,-22060.516,4456.762,7368.000,12426.539,4366.902,7467.000,8059.637,7002.230,874.468,13325.000,26976.423,-1003.266,13989.000,27979.689,22183.334,4337.431,-27976.000,-30204.288,22.084,-22113.000,-30226.372,-22343.158,-9123.095,-40456.048,1626.000,-367.175,-3097.187,3275.000,2730.012,6304.000,-40088.873,13089.000,-33114.088
2016Jun,48969.475,53660.002,32641.446,25463.000,2455.545,-30185.901,-15095.358,-12312.593,2782.764,47736.803,12985.000,14768.138,-32968.665,27089.681,-6061.919,-33151.600,10960.584,8367.335,-2593.249,389.000,-9641.297,-11956.146,3637.000,2314.848,2023.077,-604.934,-27406.000,-42363.762,1662.574,-32995.000,-44026.335,-55193.619,6659.956,14894.000,-1114.496,-1178.010,2488.000,63.514,-4023.671,-212.406,55575.099,7193.000,6233.920,1287.930,4087.000,4945.990,30392.000,49341.179,35768.000,51470.121
2016May,118350.403,106257.157,99033.382,32181.000,99973.154,939.772,10691.143,13669.574,2978.431,88342.239,22236.000,86303.580,-2038.659,75568.657,83274.768,7706.110,-4008.573,-14187.664,-10179.091,8333.000,9376.334,1441.759,9426.000,7934.575,8162.864,-853.925,2985.000,13801.196,4256.980,-2333.000,9544.216,15492.437,-11679.743,2482.000,11000.556,7437.627,-5130.000,3562.929,11743.782,-8883.096,65795.068,2792.000,74.051,-30.129,1233.000,104.180,15590.000,65721.017,19040.000,65157.680
2016Apr,-44429.052,-35839.924,-51716.861,-27226.000,-36077.123,15639.738,2830.920,680.713,-2150.207,-54547.781,-26609.000,-36757.836,17789.945,-28257.695,-16019.801,12237.893,-23423.831,-23762.124,-338.293,15971.000,23063.368,6088.958,15482.000,16974.410,17315.902,-815.148,-16361.000,3600.294,-11018.294,-2806.000,14618.588,9450.978,-4058.857,-430.000,-2500.834,5460.150,-8612.000,-7960.984,4446.359,-14474.319,-60239.952,-3466.000,-7295.195,-1225.655,-4310.000,-6069.540,-22940.000,-52944.757,-26363.000,-54320.310
2016Mar,81718.115,88270.515,49456.520,10040.000,35083.368,-14373.152,-11446.569,-12794.703,-1348.133,60903.090,37790.000,47878.071,-13025.019,69367.587,53535.900,-15831.687,-20210.092,-19366.064,844.027,10221.000,17736.421,1030.903,10333.000,16705.518,12873.333,2298.368,-20173.000,-33259.759,-6943.536,-12161.000,-26316.223,-24820.722,-8013.656,-14533.000,-22459.249,-17165.004,1065.000,-5294.244,6389.544,-13659.111,73065.954,4084.000,10707.253,3500.853,5404.000,7206.400,30442.000,62358.701,33149.000,55576.620
2016Feb,21017.343,29618.852,-194.276,-53955.000,-36353.736,-36159.461,-5885.355,21584.839,27470.194,5691.080,-63438.000,-57938.575,-63629.655,1710.162,-38127.822,-39837.984,-5299.770,-30844.585,-25544.815,-6050.000,-6279.451,2833.973,-5567.000,-9113.423,-9254.051,-1144.563,-50568.000,-67837.853,3555.710,-50714.000,-71393.563,-54692.057,-20591.699,-5660.000,9972.675,12725.924,-12973.000,-2753.249,5567.096,-10097.793,27790.892,-5553.000,-2276.039,-963.350,-3943.000,-1312.689,13877.000,30066.931,9760.000,26634.349
2016Jan,9199.233,-2173.939,-702.239,-49196.000,18431.381,19133.620,17621.538,29012.550,11391.011,-18323.777,-34778.000,-10581.169,7742.608,-9827.565,-8202.635,1624.930,-25052.803,-24989.664,63.138,-10535.000,-4861.134,6948.251,-9817.000,-11809.385,-12633.626,289.580,-9391.000,-6958.144,5689.750,-14405.000,-12647.893,-14790.864,-9024.237,-53236.000,-15862.692,8818.339,-37105.000,-24681.031,-8880.616,-17749.427,46113.351,975.000,-377.942,2262.178,-69.000,-2640.120,22991.000,46491.293,26618.000,41197.261
2015Dec,-153667.846,-95434.364,-144509.517,-16534.000,-140088.253,4421.264,-60558.595,-82371.853,-21813.258,-83950.923,11432.000,-57716.400,26234.522,5049.305,30511.735,25462.430,-67780.450,-66549.801,1230.648,7792.000,-6249.047,-12037.240,9615.000,5788.193,2703.215,3328.352,53844.000,50136.033,-6055.854,55668.000,56191.887,55647.706,721.425,-67593.000,-103297.691,-33838.039,-50307.000,-69459.652,-11391.095,-52789.821,-80677.549,-2486.000,-6416.555,-487.315,-3052.000,-5929.240,-8091.000,-74260.994,-493.000,-44307.588
2015Nov,61817.060,53208.559,31058.107,-15293.000,28075.089,-2983.018,8961.670,10972.699,2011.028,22096.437,-27722.000,17102.390,-4994.047,50700.289,48647.285,-2053.004,-22391.097,-27588.059,-5196.962,5919.000,5809.675,-890.748,4605.000,6700.423,9456.754,-2935.878,-22002.000,-13728.140,3289.445,-25119.000,-17017.585,1836.202,-11756.244,-3451.000,113.609,4804.410,-8222.000,-4690.802,11171.045,-17135.007,35879.946,9661.000,11607.627,4878.427,4958.000,6729.200,-5419.000,24272.319,-3943.000,25381.154
2015Oct,14129.227,24488.586,10215.412,74358.000,69957.241,59741.829,419.910,13298.185,12878.275,9795.502,53232.000,56659.056,46863.554,20991.313,56907.723,35916.410,-31115.926,-25264.265,5851.661,1320.000,2289.850,-1246.506,3507.000,3536.357,2912.756,629.021,58644.000,71096.085,20459.329,37417.000,50636.756,60222.885,-19101.424,-8497.000,-7728.514,4642.615,-16149.000,-12371.129,-7601.320,-15567.933,4299.820,1072.000,3815.153,451.033,2189.000,3364.120,21820.000,484.667,26268.000,11492.953
2015Sep,68108.115,89409.970,26742.950,17812.000,18672.775,-8070.175,-25269.329,-16699.183,8570.146,52012.279,34173.000,35371.958,-16640.321,56235.820,43557.747,-12678.073,-12606.658,-15172.763,-2566.105,-784.000,1947.726,-3887.789,-386.000,5835.515,4435.084,1427.473,18661.000,22382.818,-6662.290,27233.000,29045.108,24751.145,4374.994,-34468.000,-43719.912,-10923.455,-25371.000,-32796.457,-15442.914,-15831.190,38062.143,-1575.000,-3990.453,307.277,-4105.000,-4297.730,35978.000,42052.596,36801.000,37585.522
2015Aug,3037.035,-2946.225,-839.527,16059.000,-12857.552,-12018.025,5247.200,4212.413,-1034.787,-6086.728,15710.000,-17069.965,-10983.237,5128.475,-4168.859,-9297.334,-15102.301,-15024.131,78.170,8084.000,2022.330,-2074.289,8693.000,4096.618,3092.848,1047.618,-369.000,-19121.798,2951.747,-3017.000,-22073.545,-18007.223,-861.725,-14996.000,-8380.636,1713.632,-13171.000,-10094.267,5324.706,-16434.864,12622.552,5920.000,7919.492,5501.431,1849.000,2418.061,17420.000,4703.060,21355.000,8583.168
2015Jul,-75997.231,-59143.984,-74691.588,-30901.000,-62672.821,12018.767,-9738.550,-4535.649,5202.901,-64953.038,-14140.000,-58137.172,6815.867,-59031.252,-56651.743,2379.509,-19038.352,-14378.722,4659.630,3573.000,8849.006,6409.247,2128.000,2439.759,2780.881,-429.667,-8905.000,1698.176,-9099.918,50.000,10798.094,5225.421,2261.819,-24195.000,-25791.097,-2467.896,-15419.000,-23323.201,-3133.641,-20283.984,-47428.906,291.000,-1471.682,-2284.211,1787.000,812.529,-1666.000,-45957.224,-2685.000,-48864.353
2015Jun,-79879.896,-42113.366,-91812.564,-34456.000,-67893.801,23918.763,-41758.792,-61240.475,-19481.683,-50053.772,-2229.000,-6653.326,43400.446,-12671.105,35927.374,48598.479,-24919.614,-28187.656,-3268.043,-1878.000,-11845.566,-4988.944,-5415.000,-6856.622,-6333.473,-1305.343,30730.000,9608.109,-8999.696,33924.000,18607.805,36054.143,-11888.937,-47998.000,-65913.614,-28832.891,-34148.000,-37080.723,-16207.916,-18125.498,257.270,-7292.000,-7828.221,-2804.101,-6186.000,-5024.120,-8018.000,8085.491,9596.000,23700.334
2015May,55600.830,62329.977,39219.727,-27314.000,45407.420,6187.693,-7547.592,-13989.472,-6441.880,46767.319,-8692.000,59396.892,12629.573,68183.127,83569.611,15386.484,-28508.575,-30156.693,-1648.118,-8411.000,-7170.496,-393.977,-5426.000,-6776.519,-6404.887,-392.890,5597.000,17154.232,-531.336,5487.000,17685.568,21208.006,-5872.366,-39501.000,-30188.259,-8125.734,-32112.000,-22062.525,2196.654,-22949.278,65611.943,-2762.000,-5241.196,-3505.606,-929.000,-1735.590,17763.000,70853.139,24288.000,72285.958
2015Apr,-13688.668,-14642.082,-27908.360,-39340.000,-40950.968,-13042.608,5091.258,-1028.151,-6119.410,-32999.618,-35779.000,-39922.816,-6923.198,-30818.492,-40207.625,-9389.133,-10949.662,-10057.576,892.086,4755.000,11827.221,9384.447,773.000,2442.774,-2748.361,4703.107,-45405.000,-20274.361,1454.757,-43123.000,-21729.118,-16117.614,-8125.210,-9066.000,-10687.502,-183.079,-11826.000,-10504.423,10792.252,-19843.013,-21816.325,-1306.000,-5081.190,-2875.340,-496.000,-2205.850,11682.000,-16735.135,18893.000,-7926.199
2015Mar,47901.473,39528.076,915.999,51465.000,64541.841,63625.842,-1387.679,12713.300,14100.979,2303.678,50023.000,51828.542,49524.863,20777.104,66851.337,46074.233,-34512.673,-34531.827,-19.154,5709.000,12941.921,1128.493,5553.000,11813.428,10858.964,262.041,48888.000,34309.998,3352.495,47116.000,30957.503,29929.121,-10886.855,-28400.000,-37344.252,-9245.963,-21314.000,-28098.289,4.305,-26338.425,54634.175,106.000,6608.333,9755.903,-5207.000,-3147.570,25162.000,48025.842,23876.000,40303.470
2015Feb,30404.879,32390.540,13170.718,2973.000,33932.181,20761.463,-4288.610,3654.866,7943.475,17459.327,13960.000,30277.315,12817.987,46519.414,58268.398,11748.985,-49749.782,-55063.255,-5313.473,13782.000,13649.754,3590.683,13206.000,10059.071,10042.063,-673.330,21250.000,5406.385,4480.595,20114.000,925.790,16722.837,-34893.139,-38725.000,-21586.946,2233.708,-34514.000,-23820.654,-813.252,-21879.414,36462.988,2255.000,5569.302,1851.001,919.000,3718.301,4411.000,30893.686,14236.000,39394.807
2015Jan,51735.184,9411.445,28791.064,37880.000,98625.301,69834.237,36118.005,68092.814,31974.809,-7326.941,11957.000,30532.487,37859.428,23516.618,40338.350,16821.732,-65269.126,-62353.320,2915.806,-587.000,3951.069,7611.493,-1685.000,-3660.424,-3712.274,-2184.440,32061.000,33636.648,5691.028,26550.000,27945.621,21440.248,-41960.575,-9096.000,29979.093,48124.970,-31667.000,-18145.877,7909.520,-22933.127,31058.491,1473.000,-1080.539,2512.191,-782.000,-3592.730,14029.000,32139.030,19541.000,27985.897
2014Dec,-140789.743,-98955.004,-155542.321,-24422.000,-147446.700,8095.621,-50018.777,-49354.110,664.667,-105523.544,-28670.000,-98092.590,7430.954,-12511.527,2778.442,15289.969,-106467.081,-127206.592,-20739.511,6019.000,-7119.770,-10983.670,7947.000,3863.900,704.613,486.830,-28147.000,-31261.351,-15554.087,-15614.000,-15707.264,16273.453,-75508.843,-21817.000,-57605.421,-8275.662,-29391.000,-49329.759,-20394.813,-25998.263,-51460.159,887.000,-1994.806,5153.084,-4572.000,-7147.890,18635.000,-49465.353,12960.000,-29771.577
2014Nov,53289.271,65286.439,30016.987,-15853.000,31351.418,1334.431,-11532.184,-8223.906,3308.277,41549.170,-8488.000,39575.324,-1973.847,47925.726,48452.810,527.084,-4995.340,-7282.630,-2287.290,3180.000,3436.985,-2044.328,3297.000,5481.313,5358.478,2743.660,-5387.000,5036.718,133.054,-5347.000,4903.664,-1526.382,2211.604,-25296.000,-20398.968,-3929.551,-19973.000,-16469.417,-844.748,-12470.197,43276.683,1871.000,3402.734,4003.454,-2168.000,-600.720,9778.000,39873.949,15703.000,46260.484
2014Oct,-66477.831,-34287.007,-73973.415,-72489.000,-74500.650,-527.235,-25040.616,-30689.764,-5649.148,-48932.799,-49916.000,-43810.886,5121.913,-35098.821,-21881.602,13217.219,-16562.149,-17525.523,-963.375,2096.000,3357.667,2851.979,24.000,505.688,1255.558,-930.270,5773.000,19718.531,-1239.145,6768.000,20957.675,26035.223,-1245.112,-84834.000,-87194.480,-10375.683,-79144.000,-76818.797,-39168.550,-34713.862,-10382.368,-12694.000,-9570.558,-7860.708,-2790.000,-1709.850,17170.000,-811.810,25226.000,13254.397
2014Sep,-3723.232,15537.770,-42362.190,-10811.000,-17855.423,24506.767,-30452.093,-30083.434,368.659,-11910.097,18737.000,12228.011,24138.108,26734.446,41699.329,14964.883,-22355.940,-15725.377,6630.563,-1248.000,847.399,-4634.845,366.000,5482.244,4678.563,203.149,-4200.000,-3610.161,-8216.457,5034.000,4606.296,6024.343,-2428.115,-18139.000,-28439.167,-21906.460,1441.000,-6532.707,-1820.627,-2916.169,13346.506,9781.000,7404.698,1860.978,5961.000,5543.720,2994.000,5941.808,5936.000,3128.458
2014Aug,-66139.787,-59444.693,-70393.304,-40620.000,-62870.468,7522.836,-12979.833,-10204.908,2774.925,-57413.471,-25224.000,-52665.559,4747.912,-45536.415,-41279.050,4257.365,-12866.977,-19054.511,-6187.534,6641.000,1458.209,-419.832,5903.000,1878.041,1782.677,-199.209,-17041.000,-31825.513,-18554.931,1918.000,-13270.581,-4715.599,-14178.643,-28997.000,-21501.110,10354.818,-34789.000,-31855.929,-26015.338,-4813.379,-11002.054,3795.000,5070.180,2306.139,2403.000,2764.041,-5019.000,-16072.234,-658.000,-12181.132
