Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691439
,SEC.M.A1.1000.F33000.N.4.EUR.E.Z,SEC.M.A1.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.Z01.E.S,SEC.M.I8.1000.F33000.N.4.Z01.E.Z,SEC.M.I8.1000.F33000.N.4.Z06.E.Z,SEC.M.I8.1000.F33100.N.4.EUR.E.Z,SEC.M.I8.1000.F33100.N.4.Z01.E.Z,SEC.M.I8.1000.F33100.N.4.Z06.E.Z,SEC.M.I8.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33200.N.4.Z01.E.S,SEC.M.I8.1000.F33200.N.4.Z01.E.Z,SEC.M.I8.1000.F33200.N.4.Z06.E.Z,SEC.M.I8.1000.F33201.N.4.EUR.E.Z,SEC.M.I8.1000.F33201.N.4.Z01.E.Z,SEC.M.I8.1000.F33201.N.4.Z06.E.Z,SEC.M.I8.1000.F33202.N.4.EUR.E.Z,SEC.M.I8.1000.F33202.N.4.Z01.E.Z,SEC.M.I8.1000.F33202.N.4.Z06.E.Z,SEC.M.I8.1100.F33000.N.4.Z01.E.S,SEC.M.I8.1100.F33000.N.4.Z01.E.Z,SEC.M.I8.1100.F33100.N.4.Z01.E.Z,SEC.M.I8.1100.F33200.N.4.Z01.E.S,SEC.M.I8.1100.F33200.N.4.Z01.E.Z,SEC.M.I8.1100.F33201.N.4.Z01.E.Z,SEC.M.I8.1100.F33202.N.4.Z01.E.Z,SEC.M.I8.1235.F33000.N.4.Z01.E.S,SEC.M.I8.1235.F33000.N.4.Z01.E.Z,SEC.M.I8.1235.F33100.N.4.Z01.E.Z,SEC.M.I8.1235.F33200.N.4.Z01.E.S,SEC.M.I8.1235.F33200.N.4.Z01.E.Z,SEC.M.I8.1235.F33201.N.4.Z01.E.Z,SEC.M.I8.1235.F33202.N.4.Z01.E.Z,SEC.M.I8.12A0.F33000.N.4.Z01.E.S,SEC.M.I8.12A0.F33000.N.4.Z01.E.Z,SEC.M.I8.12A0.F33100.N.4.Z01.E.Z,SEC.M.I8.12A0.F33200.N.4.Z01.E.S,SEC.M.I8.12A0.F33200.N.4.Z01.E.Z,SEC.M.I8.12A0.F33201.N.4.Z01.E.Z,SEC.M.I8.12A0.F33202.N.4.Z01.E.Z,SEC.M.I8.1300.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33000.N.4.Z01.E.S,SEC.M.I8.130D.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33100.N.4.Z01.E.Z,SEC.M.I8.130D.F33200.N.4.Z01.E.S,SEC.M.I8.130D.F33200.N.4.Z01.E.Z,SEC.M.I8.1311.F33000.N.4.Z01.E.S,SEC.M.I8.1311.F33000.N.4.Z01.E.Z,SEC.M.I8.1311.F33200.N.4.Z01.E.S,SEC.M.I8.1311.F33200.N.4.Z01.E.Z
2019Feb,119955.870,124068.784,111448.568,95161.000,99287.350,-12161.218,-2060.369,-15340.390,-13280.021,113508.937,118232.000,114627.740,1118.803,113349.996,112125.050,-1224.947,-361.497,2488.213,2849.710,13680.000,13114.425,6257.924,11644.000,6856.500,7043.591,4.838,28707.000,9026.151,-1350.510,31530.000,10376.661,14097.579,-3997.260,17777.000,35627.041,-910.447,24392.000,36537.488,38464.620,-762.695,41519.733,1067.000,3159.233,-3409.888,5270.000,6569.121,33930.000,38360.500,45396.000,54287.969
2019Jan,93842.678,69105.469,97507.888,58596.000,136904.562,39396.674,42357.089,66881.221,24524.132,55150.799,37088.000,70023.341,14872.542,56444.386,69361.129,12916.742,-14392.020,-17119.017,-2726.997,7677.000,14425.155,16368.817,1601.000,-1943.662,395.685,-2331.169,-9937.000,-6212.572,-5459.905,-2824.000,-752.668,5857.003,-10265.502,24211.000,59203.938,33591.982,12999.000,25611.956,33708.355,-9091.836,69488.041,11161.000,10238.915,11245.425,1569.000,-1006.510,25484.000,59249.126,23743.000,48114.225
2018Dec,-68079.968,-37104.393,-76017.859,19337.000,-101947.083,-25929.224,-47721.543,-61937.561,-14216.019,-28296.316,24204.000,-40009.522,-11713.205,-10254.472,-21925.773,-11671.301,4066.912,-528.539,-4595.452,4708.000,-12179.824,-16982.333,8075.000,4802.509,5986.181,136.270,-4508.000,-6934.023,2916.813,-13253.000,-9850.836,-3888.063,-8085.460,16420.000,-21169.501,-21999.648,21485.000,830.147,-2984.205,8309.108,-61663.736,-4488.000,-8054.860,-5587.957,55.000,-2466.903,7206.000,-53608.876,7841.000,-33324.439
2018Nov,104604.851,80930.555,93723.013,32485.000,64244.470,-29478.543,23047.266,-6944.615,-29991.881,70675.747,38159.000,71189.085,513.338,64080.027,61621.579,-2458.448,-5028.270,-3187.431,1840.839,-6572.000,-7135.482,-2428.589,-7131.000,-4706.893,-776.381,-3909.366,20451.000,22909.887,-2471.191,22067.000,25381.079,17780.947,5362.578,13512.000,15302.153,-6424.487,18880.000,21726.641,16588.654,5730.457,33167.911,-2789.000,-972.796,-1123.489,-1426.000,150.693,7883.000,34140.707,5769.000,28637.566
2018Oct,-33170.792,-28931.883,-20972.232,-8356.000,-22759.405,-1787.173,10944.246,-6061.545,-17005.791,-31916.478,-12580.000,-16697.860,15218.618,-31396.660,-26621.584,4775.077,-12195.186,-7173.801,5021.384,1485.000,2725.351,2307.945,742.000,417.405,-987.363,1422.270,-7086.000,-567.649,-6621.233,-2858.000,6053.584,5500.663,-5847.587,1129.000,5654.265,2193.465,-3167.000,3460.800,8242.006,-6201.814,-30571.371,2771.000,5929.350,1480.589,1890.000,4448.761,-6656.000,-36500.721,-9187.000,-31078.410
2018Sep,130884.849,132196.032,88438.808,75425.000,91790.501,3351.694,-11622.288,-17088.528,-5466.239,100061.096,96038.000,108879.029,8817.933,99573.120,107175.727,7602.607,-9090.122,-8419.780,670.342,12633.000,15061.246,-5919.430,13873.000,20980.676,19887.936,1088.610,-1267.000,6893.642,-221.132,2720.000,7114.774,17929.836,-11428.398,45330.000,41681.801,6367.433,41651.000,35314.368,28384.155,6803.247,28153.813,-9845.000,-13157.075,-13933.848,1161.000,776.773,28574.000,41310.888,36633.000,44692.438
2018Aug,11149.246,23213.050,2819.810,24245.000,-13479.447,-16299.258,-10002.723,-4114.493,5888.230,12822.534,32760.000,-9364.954,-22187.488,24058.640,8396.316,-15662.324,-7822.217,-11234.606,-3412.389,-3549.000,-11695.288,-1739.738,-4102.000,-9955.550,-8253.093,-1630.429,1209.000,-21207.290,-802.240,5534.000,-20405.049,-498.403,-14528.556,6971.000,11677.930,-627.205,9227.000,12305.135,9363.652,3551.439,7745.201,2371.000,6189.737,4681.136,680.000,1508.601,17243.000,1555.464,21421.000,7181.909
2018Jul,68378.830,69587.728,47895.540,75708.000,52089.690,4194.149,8912.845,9752.134,839.289,38982.695,71056.000,42337.556,3354.861,27682.439,27803.314,120.875,-1072.698,-2522.863,-1450.165,4380.000,12110.194,6205.745,4530.000,5904.449,5703.584,243.920,4744.000,22810.623,999.956,3022.000,21810.667,14598.651,-301.545,8780.000,5187.681,5845.515,7147.000,-657.834,-451.376,-365.527,11981.192,3327.000,1317.314,1138.118,135.000,179.196,54478.000,10663.878,56221.000,15101.078
2018Jun,35738.052,18282.357,24763.030,22248.000,6284.083,-18478.947,4297.932,-16259.459,-20557.391,20465.098,16015.000,22543.542,2078.444,1109.375,-491.875,-1601.250,7137.719,7417.336,279.617,397.000,-12560.351,-8954.204,-2077.000,-3606.147,-3653.890,-847.990,33719.000,25870.862,5930.669,25883.000,19940.193,10573.714,3005.639,-13724.000,-29798.796,-19321.709,-8701.000,-10477.087,-9063.880,-71.879,22772.368,-6162.000,-7003.251,-6494.294,-1101.000,-508.957,8018.000,29775.619,2011.000,17195.540
2018May,49690.108,65174.388,38313.470,-29651.000,30998.375,-7315.095,-15478.667,-12678.413,2800.254,53792.136,-14657.000,43676.788,-10115.348,36681.406,28031.439,-8649.967,4011.235,2050.972,-1960.263,7685.000,9295.382,4698.533,5958.000,4596.849,2475.723,2105.617,-6236.000,3740.484,-3028.126,-5243.000,6768.609,13331.000,-9332.668,-17224.000,-9711.825,-5607.241,-10846.000,-4104.584,-2226.155,-1530.107,27674.334,-4156.000,-7769.553,-3729.225,-2546.000,-4040.328,-9721.000,35443.887,-1980.000,40456.241
